CurrentTime,index,name,selectROI,Vx,Vy,X,Y,row,col
0,1,out-1-V,tile-1,0,0,0,0,1,1
0,2,out-2-V,tile-2,0,0,0,0,2,1
0,3,out-3-V,tile-3,0,0,0,0,3,1
0,4,out-4-V,tile-4,0,0,0,0,1,2
0,5,out-5-V,tile-5,0,0,0,0,2,2
0,6,out-6-V,tile-6,0,0,0,0,3,2
0,7,out-7-V,tile-7,0,0,0,0,1,3
0,8,out-8-V,tile-8,0,0,0,0,2,3
0,9,out-9-V,tile-9,0,0,0,0,3,3
0.0333333333333333,1,out-1-V,tile-1,-7.575295,-7.660979,-0.2525098,-0.255366,1,1
0.0333333333333333,2,out-2-V,tile-2,-5.767007,0.1636348,-0.1922336,0.005454494,2,1
0.0333333333333333,3,out-3-V,tile-3,-2.785705,3.728157,-0.09285683,0.1242719,3,1
0.0333333333333333,4,out-4-V,tile-4,22.49704,3.831099,0.7499012,0.1277033,1,2
0.0333333333333333,5,out-5-V,tile-5,0.205326,16.59249,0.0068442,0.5530832,2,2
0.0333333333333333,6,out-6-V,tile-6,-0.4075243,0.6794286,-0.01358414,0.02264762,3,2
0.0333333333333333,7,out-7-V,tile-7,-9.200387,-5.436692,-0.3066796,-0.1812231,1,3
0.0333333333333333,8,out-8-V,tile-8,8.055284,6.395057,0.2685094,0.2131686,2,3
0.0333333333333333,9,out-9-V,tile-9,0.7116421,0.5489766,0.0237214,0.01829922,3,3
0.0666666666666667,1,out-1-V,tile-1,0.004235248,-0.0001713485,-0.2523687,-0.2553717,1,1
0.0666666666666667,2,out-2-V,tile-2,0.00619321,-0.0003331114,-0.1920271,0.00544339,2,1
0.0666666666666667,3,out-3-V,tile-3,-0.008572788,0.0002386283,-0.09314259,0.1242798,3,1
0.0666666666666667,4,out-4-V,tile-4,0.02733273,-2.1478e-05,0.7508124,0.1277026,1,2
0.0666666666666667,5,out-5-V,tile-5,0.0940462,-0.08962162,0.009979073,0.5500958,2,2
0.0666666666666667,6,out-6-V,tile-6,0,0,-0.01358414,0.02264762,3,2
0.0666666666666667,7,out-7-V,tile-7,0.1844286,0.00981715,-0.300532,-0.1808958,1,3
0.0666666666666667,8,out-8-V,tile-8,0.2980561,-0.03960932,0.2784446,0.2118482,2,3
0.0666666666666667,9,out-9-V,tile-9,0.01427201,-0.001181105,0.02419714,0.01825985,3,3
0.1,1,out-1-V,tile-1,0.009855727,-0.001421905,-0.2520401,-0.2554191,1,1
0.1,2,out-2-V,tile-2,0.008364274,-0.0002081418,-0.1917483,0.005436452,2,1
0.1,3,out-3-V,tile-3,3.308724e-07,3.523704e-06,-0.09314258,0.12428,3,1
0.1,4,out-4-V,tile-4,0.002570624,0.03955809,0.7508981,0.1290212,1,2
0.1,5,out-5-V,tile-5,0.06627382,-0.1001711,0.0121882,0.5467567,2,2
0.1,6,out-6-V,tile-6,0,0,-0.01358414,0.02264762,3,2
0.1,7,out-7-V,tile-7,0.02149192,-0.004119615,-0.2998156,-0.1810331,1,3
0.1,8,out-8-V,tile-8,0.3403695,-0.009990134,0.2897903,0.2115152,2,3
0.1,9,out-9-V,tile-9,0.01618368,-0.0002142441,0.02473659,0.01825271,3,3
0.133333333333333,1,out-1-V,tile-1,0.008905172,-0.0003145809,-0.2517433,-0.2554296,1,1
0.133333333333333,2,out-2-V,tile-2,0.001862266,-0.0002212971,-0.1916862,0.005429076,2,1
0.133333333333333,3,out-3-V,tile-3,0.01001046,-0.0005333778,-0.0928089,0.1242622,3,1
0.133333333333333,4,out-4-V,tile-4,-0.002581096,-0.03937446,0.7508121,0.1277087,1,2
0.133333333333333,5,out-5-V,tile-5,0.02821705,-0.2795371,0.01312877,0.5374389,2,2
0.133333333333333,6,out-6-V,tile-6,6.088516e-06,-1.386965e-05,-0.01358394,0.02264716,3,2
0.133333333333333,7,out-7-V,tile-7,-0.007456568,-0.001752413,-0.3000641,-0.1810915,1,3
0.133333333333333,8,out-8-V,tile-8,0.1947875,-0.04847164,0.2962832,0.2098995,2,3
0.133333333333333,9,out-9-V,tile-9,0.01364275,-0.004895651,0.02519135,0.01808952,3,3
0.166666666666667,1,out-1-V,tile-1,-0.01337868,-0.001247389,-0.2521893,-0.2554711,1,1
0.166666666666667,2,out-2-V,tile-2,0.004168322,-8.951566e-05,-0.1915473,0.005426092,2,1
0.166666666666667,3,out-3-V,tile-3,-0.009315716,0.0004631832,-0.09311943,0.1242776,3,1
0.166666666666667,4,out-4-V,tile-4,-0.008214816,0.02006704,0.7505382,0.1283776,1,2
0.166666666666667,5,out-5-V,tile-5,-0.03001616,-0.05550903,0.01212823,0.5355886,2,2
0.166666666666667,6,out-6-V,tile-6,0,0,-0.01358394,0.02264716,3,2
0.166666666666667,7,out-7-V,tile-7,-0.06862486,-0.00393052,-0.3023516,-0.1812226,1,3
0.166666666666667,8,out-8-V,tile-8,-0.1927642,-0.06094075,0.2898577,0.2078682,2,3
0.166666666666667,9,out-9-V,tile-9,0.004067848,2.499492e-05,0.02532695,0.01809035,3,3
0.2,1,out-1-V,tile-1,0.001912536,0.0004028738,-0.2521255,-0.2554577,1,1
0.2,2,out-2-V,tile-2,-0.004495237,9.833636e-05,-0.1916971,0.005429369,2,1
0.2,3,out-3-V,tile-3,0.009414074,-0.0003245678,-0.09280562,0.1242668,3,1
0.2,4,out-4-V,tile-4,-0.3119375,-0.1360184,0.7401403,0.1238437,1,2
0.2,5,out-5-V,tile-5,-0.04729465,-0.1955731,0.01055174,0.5290695,2,2
0.2,6,out-6-V,tile-6,0,0,-0.01358394,0.02264716,3,2
0.2,7,out-7-V,tile-7,-0.6947193,0.04028567,-0.3255089,-0.1798797,1,3
0.2,8,out-8-V,tile-8,-1.660114,-0.1429774,0.2345206,0.2031022,2,3
0.2,9,out-9-V,tile-9,-0.0445351,0.004370392,0.02384244,0.01823603,3,3
0.233333333333333,1,out-1-V,tile-1,-0.007745952,0.003987111,-0.2523837,-0.2553248,1,1
0.233333333333333,2,out-2-V,tile-2,0,0,-0.1916971,0.005429369,2,1
0.233333333333333,3,out-3-V,tile-3,0,0,-0.09280562,0.1242668,3,1
0.233333333333333,4,out-4-V,tile-4,0.003295704,0.005123859,0.7402502,0.1240145,1,2
0.233333333333333,5,out-5-V,tile-5,-0.0147554,0.08311254,0.01005989,0.5318399,2,2
0.233333333333333,6,out-6-V,tile-6,0,0,-0.01358394,0.02264716,3,2
